IDPRODUCTO|NOMBRE|MARCA|DESCRIPCION|PRECIO_COSTO|PRECIO_VENTA|IDSUBCATEGORIA
PRODUCTO.NEXTVAL|Spaghetti Nro34 DON VITTORIO BOLSA DE 500 Gramos|ALICORP|PASTA DON VICTORIO|2|2.5|10
PRODUCTO.NEXTVAL|Tallarin Nro 42 Molitalia Bolsa de 500 gramos|Molitalia|PASTA DE FIDEOS Molitalia|2|2.4|10
PRODUCTO.NEXTVAL|Pastina Tornillo Nro 92 Nicolini Bolsa 250 g|Nicolini|tornillo pasta|1|1.2|10
PRODUCTO.NEXTVAL|Pastina Tornillo Nro 12 Don Vittorio Bolsa 250 g|ALICORP|tornillo pasta|1.1|1.35|10
PRODUCTO.NEXTVAL|Pastina Canuto Rayado Nro 31 Don Vittorio Bolsa 250 g|ALICORP|Canuto|1.35|1.5|10
PRODUCTO.NEXTVAL|Cabello de Ángel Don Vittorio Bolsa 250 g|ALICORP|cabello de angel|1.2|1.35|10
PRODUCTO.NEXTVAL|Fideo Tallarin Nicolini Paquete 1 kg|Nicolini|TALLARIN|2.5|2.99|10
PRODUCTO.NEXTVAL|Fettuccini Don Vittorio 500 g|ALICORP|Fettuccini|2.2|2.4|10
PRODUCTO.NEXTVAL|Linguini Grosso Don Vittorio Paquete 1 Kg|ALICORP|Linguini|5.5|6|10
PRODUCTO.NEXTVAL|Fideos Atrapa Salsa Molitalia Bolsa 500 g|ALICORP|ATRAPA|2.1|2.3|10
PRODUCTO.NEXTVAL|Tallarín Delgado Nicolini Bolsa 500 g|Nicolini|DELGADO|1.7|1.85|10
PRODUCTO.NEXTVAL|Spaghetti Nro 32 Molitalia Bolsa 500 g|Molitalia|SPAGHETTI|2.2|2.3|10
PRODUCTO.NEXTVAL|Pastina Tornillo Chico Molitalia Bolsa 250 g|Molitalia|tornillo pasta|1|1.29|10
PRODUCTO.NEXTVAL|Pastina Codo Chico Don Vittorio Bolsa 250 g|ALICORP|codos|1.4|1.5|10
PRODUCTO.NEXTVAL|Pastina Canuto Chico Nro 26 Don Vittorio Bolsa 250 g|ALICORP|canuto|1.4|1.5|10
PRODUCTO.NEXTVAL|Pasta para Ensalada Tornillo Especial con Espinaca y Tomate Molitalia Bolsa 250 g|Molitalia|ensalada de tornillo|1.6|1.75|10
PRODUCTO.NEXTVAL|Fideo Spaghetti Nicolini Paquete 1 kg|Nicolini|SPAGHETTI|2.8|2.99|10
PRODUCTO.NEXTVAL|Pasta de Quinoa Real Spaghetti El Dorado Libre de Gluten Bolsa 250 gr|DORADO|SPAGHETTI|13.3|13.6|10
PRODUCTO.NEXTVAL|Spaghetti Nro 32 Nicolini Bolsa 500 g|Nicolini|SPAGUETTI|1.75|1.85|10
PRODUCTO.NEXTVAL|Pastina Rigatoni Nro 75 Molitalia Bolsa 250 g|Molitalia|Rigatoni|1.1|1.29|10
PRODUCTO.NEXTVAL|Pastina Pluma Rayada Molitalia Bolsa 250 g|Molitalia|Pluma|1.1|1.29|10
PRODUCTO.NEXTVAL|Pastina Munición Molitalia Bolsa 250 g|Molitalia|municion|1.2|1.29|10
