IDSUBCATEGORIA|NOMBRE|DESCRIPCION|Fecha_Creacion|IDCATEGORIA
SUB_CAT_SECUENCIA.NEXTVAL|FIDEOS Y PASTAS|BASICAMENTE HECHO DE HARINO DE TRIGO|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|HARINA|TODO TIPO DE HARINAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|ENLATADOS Y CONSERVAS|TODO TIPO QUE VIENE EN LATA Y CON PRESERVANTES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|ACEITES|TODO TIPO DE ACEITES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|ARROZ, MENESTRAS Y GRANOS|TODO TIPO DE GRANO INCLUIDADO MENESTRAS Y ARROZ|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|AZUCAR Y SUSTITUTOS|TODO TIPO DE AZUCAR Y ENDULZANTE|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|GOLOSINA|TODO TIPO DE GOLOSINAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|GALLETAS|TODO TIPO DE GALLETAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|CAFÉ E INFUSIONES|TODO TIPO DE CAFES E INFUSIONES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|1
SUB_CAT_SECUENCIA.NEXTVAL|CARNE DE RES|CARNE ROJA|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|2
SUB_CAT_SECUENCIA.NEXTVAL|CERDO|CARNE DE CHANCHO|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|2
SUB_CAT_SECUENCIA.NEXTVAL|AVE|TODO TIPO DE CARNE DE AVES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|2
SUB_CAT_SECUENCIA.NEXTVAL|HAMBURGUESAS|TODO TIPO DE HAMBURGUESAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|2
SUB_CAT_SECUENCIA.NEXTVAL|BEBIDA REGENERADORA|TODO TIPO DE BEBEIDA ENERGIZANTES Y HIDRATANTES|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|3
SUB_CAT_SECUENCIA.NEXTVAL|GASEOSA|BEBIDAS CARBONATADAS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|3
SUB_CAT_SECUENCIA.NEXTVAL|AGUA|TODO TIPO DE AGUA|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|3
SUB_CAT_SECUENCIA.NEXTVAL|JUGOS|TODO TIPO DE JUGOS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|3
SUB_CAT_SECUENCIA.NEXTVAL|VINO|TODO TIPO DE VINOS |to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
SUB_CAT_SECUENCIA.NEXTVAL|PISCO|VARIEDAD DE PISCOS|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
SUB_CAT_SECUENCIA.NEXTVAL|Whysky|VARIEDAD DE en whyskis|to_date(sysdate, 'dd mm rrrr hh12:mi:ss')|4
